00:00:DD	Tcl
00:00:E2	AcerTechnolo
00:01:24	Acer
00:01:7A	MaipuElectri
00:02:09	SEDInformati
00:02:0E	ECITelecom
00:02:59	TsannKuenChi
00:02:AF	TeleCruzTech
00:02:D1	Vivotek
00:03:0F	DigitalChina
00:03:1A	BroadTelecom
00:03:1D	TaiwanCommat
00:03:27	HMSIndustria
00:03:33	Digitel
00:03:4C	DigiVisionTe
00:03:92	HyundaiTelet
00:04:0F	AsusNetworkT
00:04:66	ARMITEL
00:04:67	ResearchInst
00:04:6F	DigitelIndus
00:05:05	SystemsInteg
00:05:10	InfiniteShan
00:05:29	BroadanCommu
00:05:3B	HarbourNetwo
00:05:5D	DLink
00:05:94	HMSIndustria
00:05:FC	SchenckPegas
00:06:1B	NotebookDeve
00:06:37	ToptrendMeta
00:06:46	XunBaoNetwor
00:06:5F	ECITelecom
00:06:89	yLezTechnolo
00:06:E4	CitelTechnol
00:06:E5	FujianNewlan
00:07:26	GongjinElect
00:07:3D	NanjingPoste
00:07:3E	ChinaGreatWa
00:07:53	QxcommTechno
00:07:72	AlcatelLucen
00:07:74	GuangZhouThi
00:07:D1	SpectrumSign
00:07:D4	ZhejiangYuto
00:08:59	UnitoneElect
00:08:5B	HanbitElectr
00:08:5C	DareTechnolo
00:08:5D	Mitel
00:08:9E	EnterNet
00:08:B2	CompassTechn
00:09:01	ShixuntongIn
00:09:47	Aztek
00:09:5B	Netgear
00:09:6F	ZhongqingEle
00:09:CA	iMaxNetworks
00:09:F6	EasternDigit
00:0A:0E	InvivoResear
00:0A:94	cellink
00:0A:A4	Surveillance
00:0A:BB	TaiwanSecom
00:0A:C2	FiberHomeDig
00:0A:EB	TpLinkTechno
00:0B:00	FujianStartC
00:0B:12	NURITelecom
00:0B:30	GongyeScienc
00:0B:34	BroadbandTec
00:0B:9A	UlinkTelecom
00:0B:AB	AdvantechTec
00:0B:C0	ChinaIWNComm
00:0B:D4	WiseTechnolo
00:0B:DF	RouterDNetwo
00:0B:E5	HIMSInternat
00:0B:F5	SiboTelecomT
00:0C:04	Tecnova
00:0C:0A	ProvinceElec
00:0C:23	LanchuanTech
00:0C:2E	Openetinform
00:0C:5D	ChicTechnolo
00:0C:6E	ASUSTekCOMPU
00:0C:99	HITELLINK
00:0C:A7	MetroTechnol
00:0C:B6	NanjingSeuMo
00:0C:B7	NanjingHuazh
00:0C:E8	GuangZhouAnJ
00:0D:36	WuHanRoutonE
00:0D:53	5wCommunicat
00:0D:61	GigaByteTech
00:0D:75	KobianPteTai
00:0D:88	DLink
00:0D:8C	WedoneDigita
00:0D:CA	TaitElectron
00:0E:06	TeamSimoco
00:0E:09	CoshipSoftwa
00:0E:1F	TCLNetworksE
00:0E:45	NewtryElectr
00:0E:69	ChinaElectri
00:0E:8D	SystemsinPro
00:0E:A3	CNCRITHangZh
00:0E:A6	ASUSTekCOMPU
00:0E:A9	XunShiCommun
00:0E:B4	GuangzhouGao
00:0E:E8	ZioncomElect
00:0F:1E	KTElectricHi
00:0F:3D	DLink
00:0F:7A	NuQXTechnolo
00:0F:B5	Netgear
00:0F:E2	H3CTechnolog
00:0F:EA	GigaByteTech
00:10:01	Citel
00:11:2F	ASUSTekCOMPU
00:11:30	AlliedTelesi
00:11:95	DLink
00:11:AD	RuijieTechno
00:11:B5	Powercom
00:11:CC	GuangzhouJin
00:11:D5	SunyardSyste
00:11:D8	ASUSTekCOMPU
00:11:F7	ForwardIndus
00:11:FF	DigitroTecno
00:12:0B	ChinasysTech
00:12:98	MicoElectric
00:12:C5	VShowTechnol
00:12:D6	JiangsuYiton
00:12:DD	ShengquInfor
00:12:FE	LenovoMobile
00:13:13	GuangZhouPos
00:13:32	TopsecNetwor
00:13:36	Tianjin712Co
00:13:41	ShandongNewB
00:13:46	DLink
00:13:52	Naztec
00:13:8A	QingdaoGoerT
00:13:C0	TrixTecnolog
00:13:CB	ZenitelNorwa
00:13:D4	ASUSTekCOMPU
00:13:F3	GigabyteComm
00:14:10	SuzhouKedaTe
00:14:49	SichuanChang
00:14:4A	TaiwanThickF
00:14:6C	Netgear
00:14:72	ChinaBroadba
00:14:78	TpLinkTechno
00:14:85	GigaByte
00:14:A3	Vitelec
00:14:C4	VitelcomMobi
00:15:18	10MOONSTechn
00:15:3A	SyscanTechno
00:15:86	XiamenOverse
00:15:D3	Pantech&Curi
00:15:DA	IritelAD
00:15:E9	DLink
00:15:EB	zte
00:15:F2	ASUSTekCOMPU
00:16:17	Msi
00:16:37	CITEL
00:16:6D	YulongComput
00:16:78	BaoanGaokeEl
00:16:7A	SkyworthOver
00:16:AF	UnionNetwork
00:16:B3	Photonicbrid
00:16:C5	XingFengIndu
00:16:D9	NingboBird
00:16:E6	GigaByteTech
00:16:F5	DalianGolden
00:16:FA	ECITelecom
00:16:FB	Mtc
00:17:31	ASUSTekCOMPU
00:17:6F	PAXComputerT
00:17:8F	NingboYidong
00:17:9A	DLink
00:17:BD	Tibetsystem
00:18:03	ArcSoftShang
00:18:05	InHandNetwor
00:18:12	XinweiTeleco
00:18:15	GZTechnologi
00:18:2A	TaiwanVideoM
00:18:4D	Netgear
00:18:60	SIMTechnolog
00:18:70	E28Shanghai
00:18:82	HuaweiTechno
00:18:93	PhotonBroadb
00:18:99	jieshunScien
00:18:AB	LhwtMicroele
00:18:AC	JiaoDaHISYST
00:18:BD	DvbworldTech
00:18:F2	TianyuCommun
00:18:F3	ASUSTekCOMPU
00:18:F5	StreamingVid
00:19:11	JustInMobile
00:19:3F	RDItechnolog
00:19:4C	FujianStelco
00:19:5B	DLink
00:19:5D	XinHuaTongOp
00:19:65	YuHuaTelTech
00:19:68	DigitalVideo
00:19:71	GuangzhouUni
00:19:75	Huisennetwor
00:19:81	Vivox
00:19:95	JurongHiTech
00:19:C6	zte
00:19:CD	ethercominfo
00:19:E0	TpLinkTechno
00:19:EF	LinnkingElec
00:19:FE	SeecommTechn
00:1A:24	GalaxyTeleco
00:1A:28	ASWTTaiwanBr
00:1A:34	KonkaGroup
00:1A:4D	GigaByteTech
00:1A:69	YangtzeOptic
00:1A:6F	MITEL
00:1A:83	PegasusTechn
00:1A:92	ASUSTekCOMPU
00:1A:95	HisenseMobil
00:1A:98	AsotelCommun
00:1A:9A	SkyworthDigi
00:1A:A9	FujianStarNe
00:1A:E7	AztekNetwork
00:1A:EE	Shenztech
00:1B:10	KangHuiTechn
00:1B:11	DLink
00:1B:2F	Netgear
00:1B:43	DGTelecommun
00:1B:48	LantechElect
00:1B:65	ChinaGridcom
00:1B:82	TaiwanSemico
00:1B:C5:07:10/36	CenterforECo
00:1B:C5:09:A0/36	GuangLianZhi
00:1B:C5:0A:10/36	ZhipingTechn
00:1B:CA	RunTechnolog
00:1B:F1	NanjingSilve
00:1B:FC	ASUSTekCOMPU
00:1C:06	SiemensNumer
00:1C:0A	AEETechnolog
00:1C:47	HollysysAuto
00:1C:50	TCLTechnolyE
00:1C:55	KaifaTechnol
00:1C:61	GalaxyMicros
00:1C:68	AnhuiSunCrea
00:1C:AD	Telecommunic
00:1C:CA	GaozhiScienc
00:1C:D2	KingChampion
00:1C:E9	GalaxyTechno
00:1C:F0	DLink
00:1D:07	SangFeiConsu
00:1D:08	JiangsuYinhe
00:1D:0F	TpLinkTechno
00:1D:15	DolphinElect
00:1D:2A	BulTech
00:1D:2B	PontTechnolo
00:1D:32	LongkayCommu
00:1D:43	GlinkDigital
00:1D:60	ASUSTekCOMPU
00:1D:66	HyundaiTelec
00:1D:74	TianjinChina
00:1D:7D	GigaByteTech
00:1D:80	HuahuanEletr
00:1D:81	GuangzhouGat
00:1D:86	ShinwaIndust
00:1D:A4	SystemTechno
00:1D:B0	FuJianHengTo
00:1D:C5	JiaxunFeihon
00:1D:DC	DeChangLongT
00:1D:DE	ZhejiangBroa
00:1D:FA	FujianLANDIC
00:1D:FB	NETCLEUS
