00:00:DD         	Tcl         	Tcl Incorporated
00:00:E2         	AcerTechnolo	Acer Technologies Corp.
00:01:24         	Acer        	Acer Incorporated
00:01:7A         	MaipuElectri	Chengdu Maipu Electric Industrial Co., Ltd.
00:02:09         	SEDInformati	Shenzhen SED Information Technology Co., Ltd.
00:02:0E         	ECITelecom  	ECI Telecom Ltd.
00:02:59         	TsannKuenChi	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00:02:AF         	TeleCruzTech	TeleCruz Technology, Inc.
00:02:D1         	Vivotek     	Vivotek, Inc.
00:03:0F         	DigitalChina	Digital China (Shanghai) Networks Ltd.
00:03:1A         	BroadTelecom	Beijing Broad Telecom Ltd., China
00:03:1D         	TaiwanCommat	Taiwan Commate Computer, Inc.
00:03:27         	HMSIndustria	HMS Industrial Networks
00:03:33         	Digitel     	Digitel Co., Ltd.
00:03:4C         	DigiVisionTe	Shanghai DigiVision Technology Co., Ltd.
00:03:92         	HyundaiTelet	Hyundai Teletek Co., Ltd.
00:04:0F         	AsusNetworkT	Asus Network Technologies, Inc.
00:04:66         	ARMITEL     	ARMITEL Co.
00:04:67         	ResearchInst	Wuhan Research Institute of MII
00:04:6F         	DigitelIndus	Digitel S/A Industria Eletronica
00:05:05         	SystemsInteg	Systems Integration Solutions, Inc.
00:05:10         	InfiniteShan	Infinite Shanghai Communication Terminals Ltd.
00:05:29         	BroadanCommu	Shanghai Broadan Communication Technology Co., Ltd
00:05:3B         	HarbourNetwo	Harbour Networks Ltd., Co. Beijing
00:05:5D         	DLink       	D-Link Systems, Inc.
00:05:94         	HMSIndustria	HMS Industrial Networks
00:05:FC         	SchenckPegas	Schenck Pegasus Corp.
00:06:1B         	NotebookDeve	Notebook Development Lab. Lenovo Japan Ltd.
00:06:37         	ToptrendMeta	Toptrend-Meta Information (ShenZhen) Inc.
00:06:46         	XunBaoNetwor	ShenZhen XunBao Network Technology Co Ltd
00:06:5F         	ECITelecom  	ECI Telecom Ltd.
00:06:89         	yLezTechnolo	yLez Technologies Pte Ltd
00:06:E4         	CitelTechnol	Citel Technologies Ltd.
00:06:E5         	FujianNewlan	Fujian Newland Computer Ltd. Co.
00:07:26         	GongjinElect	Shenzhen Gongjin Electronics Co.,Lt
00:07:3D         	NanjingPoste	Nanjing Postel Telecommunications Co., Ltd.
00:07:3E         	ChinaGreatWa	China Great-Wall Computer Shenzhen Co., Ltd.
00:07:53         	QxcommTechno	Beijing Qxcomm Technology Co., Ltd.
00:07:72         	AlcatelLucen	Alcatel-Lucent Shanghai Bell Co., Ltd
00:07:74         	GuangZhouThi	GuangZhou Thinker Technology Co. Ltd.
00:07:D1         	SpectrumSign	Spectrum Signal Processing Inc.
00:07:D4         	ZhejiangYuto	Zhejiang Yutong Network Communication Co Ltd.
00:08:59         	UnitoneElect	ShenZhen Unitone Electronics Co., Ltd.
00:08:5B         	HanbitElectr	Hanbit Electronics Co., Ltd.
00:08:5C         	DareTechnolo	Shanghai Dare Technologies Co. Ltd.
00:08:5D         	Mitel       	Mitel Corporation
00:08:9E         	EnterNet    	Beijing Enter-Net co.LTD
00:08:B2         	CompassTechn	Shenzhen Compass Technology Development Co.,Ltd
00:09:01         	ShixuntongIn	Shenzhen Shixuntong Information & Technoligy Co
00:09:47         	Aztek       	Aztek, Inc.
00:09:5B         	Netgear     	Netgear
00:09:6F         	ZhongqingEle	Beijing Zhongqing Elegant Tech. Corp.,Limited
00:09:CA         	iMaxNetworks	iMaxNetworks(Shenzhen)Limited.
00:09:F6         	EasternDigit	Shenzhen Eastern Digital Tech Ltd.
00:0A:0E         	InvivoResear	Invivo Research Inc.
00:0A:94         	cellink     	ShangHai cellink CO., LTD
00:0A:A4         	Surveillance	Shanghai Surveillance Technology Co,Ltd
00:0A:BB         	TaiwanSecom 	Taiwan Secom Co,. Ltd
00:0A:C2         	FiberHomeDig	Wuhan FiberHome Digital Technology Co.,Ltd.
00:0A:EB         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
00:0B:00         	FujianStartC	Fujian Start Computer Equipment Co.,Ltd
00:0B:12         	NURITelecom 	NURI Telecom Co., Ltd.
00:0B:30         	GongyeScienc	Beijing Gongye Science & Technology Co.,Ltd
00:0B:34         	BroadbandTec	ShangHai Broadband Technologies CO.LTD
00:0B:9A         	UlinkTelecom	Shanghai Ulink Telecom Equipment Co. Ltd.
00:0B:AB         	AdvantechTec	Advantech Technology (CHINA) Co., Ltd.
00:0B:C0         	ChinaIWNComm	China IWNComm Co., Ltd.
00:0B:D4         	WiseTechnolo	Beijing Wise Technology & Science Development Co.Ltd
00:0B:DF         	RouterDNetwo	Shenzhen RouterD Networks Limited
00:0B:E5         	HIMSInternat	HIMS International Corporation
00:0B:F5         	SiboTelecomT	Shanghai Sibo Telecom Technology Co.,Ltd
00:0C:04         	Tecnova     	Tecnova
00:0C:0A         	ProvinceElec	Guangdong Province Electronic Technology Research Institute
00:0C:23         	LanchuanTech	Beijing Lanchuan Tech. Co., Ltd.
00:0C:2E         	Openetinform	Openet information technology(shenzhen) Co., Ltd.
00:0C:5D         	ChicTechnolo	Chic Technology (China) Corp.
00:0C:6E         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:0C:99         	HITELLINK   	HITEL LINK Co.,Ltd
00:0C:A7         	MetroTechnol	Metro (Suzhou) Technologies Co., Ltd.
00:0C:B6         	NanjingSeuMo	Nanjing Seu Mobile & Internet Technology Co.,Ltd
00:0C:B7         	NanjingHuazh	Nanjing Huazhuo Electronics Co., Ltd.
00:0C:E8         	GuangZhouAnJ	GuangZhou AnJuBao Co., Ltd
00:0D:36         	WuHanRoutonE	Wu Han Routon Electronic Co., Ltd
00:0D:53         	5wCommunicat	Beijing 5w Communication Corp.
00:0D:61         	GigaByteTech	Giga-Byte Technology Co., Ltd.
00:0D:75         	KobianPteTai	Kobian Pte Ltd - Taiwan Branch
00:0D:88         	DLink       	D-Link Corporation
00:0D:8C         	WedoneDigita	Shanghai Wedone Digital Ltd. CO.
00:0D:CA         	TaitElectron	Tait Electronics
00:0E:06         	TeamSimoco  	Team Simoco Ltd
00:0E:09         	CoshipSoftwa	Shenzhen Coship Software Co.,LTD.
00:0E:1F         	TCLNetworksE	TCL Networks Equipment Co., Ltd.
00:0E:45         	NewtryElectr	Beijing Newtry Electronic Technology Ltd
00:0E:69         	ChinaElectri	China Electric Power Research Institute
00:0E:8D         	SystemsinPro	Systems in Progress Holding GmbH
00:0E:A3         	CNCRITHangZh	CNCR-IT CO.,LTD,HangZhou P.R.CHINA
00:0E:A6         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:0E:A9         	XunShiCommun	Shanghai Xun Shi Communications Equipment Ltd. Co.
00:0E:B4         	GuangzhouGao	Guangzhou Gaoke Communications Technology Co.Ltd.
00:0E:E8         	ZioncomElect	Zioncom Electronics (Shenzhen) Ltd.
00:0F:1E         	KTElectricHi	Chengdu KT Electric Co.of High & New Technology
00:0F:3D         	DLink       	D-Link Corporation
00:0F:7A         	NuQXTechnolo	BeiJing NuQX Technology CO.,LTD
00:0F:B5         	Netgear     	Netgear
00:0F:E2         	H3CTechnolog	Hangzhou H3C Technologies Co., Limited
00:0F:EA         	GigaByteTech	Giga-Byte Technology Co.,Ltd.
00:10:01         	Citel       	Citel
00:11:2F         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:11:30         	AlliedTelesi	Allied Telesis (Hong Kong) Ltd.
00:11:95         	DLink       	D-Link Corporation
00:11:AD         	RuijieTechno	Shanghai Ruijie Technology
00:11:B5         	Powercom    	Shenzhen Powercom Co.,Ltd
00:11:CC         	GuangzhouJin	Guangzhou Jinpeng Group Co.,Ltd.
00:11:D5         	SunyardSyste	Hangzhou Sunyard System Engineering Co.,Ltd.
00:11:D8         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:11:F7         	ForwardIndus	Shenzhen Forward Industry Co., Ltd
00:11:FF         	DigitroTecno	Digitro Tecnologia Ltda
00:12:0B         	ChinasysTech	Chinasys Technologies Limited
00:12:98         	MicoElectric	Mico Electric(Shenzhen) Limited
00:12:C5         	VShowTechnol	V-Show Technology (China) Co.,Ltd
00:12:D6         	JiangsuYiton	Jiangsu Yitong High-Tech Co.,Ltd
00:12:DD         	ShengquInfor	Shengqu Information Technology (Shanghai) Co., Ltd.
00:12:FE         	LenovoMobile	Lenovo Mobile Communication Technology Ltd.
00:13:13         	GuangZhouPos	GuangZhou Post & Telecom Equipment ltd
00:13:32         	TopsecNetwor	Beijing Topsec Network Security Technology Co., Ltd.
00:13:36         	Tianjin712Co	Tianjin 712 Communication Broadcasting co., ltd.
00:13:41         	ShandongNewB	Shandong New Beiyang Information Technology Co.,Ltd
00:13:46         	DLink       	D-Link Corporation
00:13:52         	Naztec      	Naztec, Inc.
00:13:8A         	QingdaoGoerT	Qingdao GoerTek Technology Co., Ltd.
00:13:C0         	TrixTecnolog	Trix Tecnologia Ltda.
00:13:CB         	ZenitelNorwa	Zenitel Norway AS
00:13:D4         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:13:F3         	GigabyteComm	Giga-byte Communications Inc.
00:14:10         	SuzhouKedaTe	Suzhou Keda Technology CO.,Ltd
00:14:49         	SichuanChang	Sichuan Changhong Electric Ltd.
00:14:4A         	TaiwanThickF	Taiwan Thick-Film Ind. Corp.
00:14:6C         	Netgear     	Netgear
00:14:72         	ChinaBroadba	China Broadband Wireless IP Standard group(ChinaBWIPS)
00:14:78         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
00:14:85         	GigaByte    	Giga-Byte
00:14:A3         	Vitelec     	Vitelec BV
00:14:C4         	VitelcomMobi	Vitelcom Mobile Technology
00:15:18         	10MOONSTechn	Shenzhen 10MOONS Technology Development CO.,Ltd
00:15:3A         	SyscanTechno	Shenzhen Syscan Technology Co.,Ltd.
00:15:86         	XiamenOverse	Xiamen Overseas Chinese Electronic Co., Ltd.
00:15:D3         	Pantech&Curi	Pantech&Curitel Communications, Inc.
00:15:DA         	IritelAD    	Iritel A.D.
00:15:E9         	DLink       	D-Link Corporation
00:15:EB         	zte         	zte corporation
00:15:F2         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:16:17         	Msi         	Msi
00:16:37         	CITEL       	CITEL SpA
00:16:6D         	YulongComput	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
00:16:78         	BaoanGaokeEl	Shenzhen Baoan Gaoke Electronics Co., Ltd
00:16:7A         	SkyworthOver	Skyworth Overseas Development Ltd.
00:16:AF         	UnionNetwork	Shenzhen Union Networks Equipment Co.,Ltd.
00:16:B3         	Photonicbrid	Photonicbridges (China) Co., Ltd.
00:16:C5         	XingFengIndu	Shenzhen Xing Feng Industry Co.,Ltd
00:16:D9         	NingboBird  	Ningbo Bird Co.,Ltd.
00:16:E6         	GigaByteTech	Giga-Byte Technology Co.,Ltd.
00:16:F5         	DalianGolden	Dalian Golden Hualu Digital Technology Co.,Ltd
00:16:FA         	ECITelecom  	ECI Telecom Ltd.
00:16:FB         	Mtc         	Shenzhen Mtc Co Ltd
00:17:31         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:17:6F         	PAXComputerT	PAX Computer Technology(Shenzhen) Ltd.
00:17:8F         	NingboYidong	Ningbo Yidong Electronic Co.,Ltd.
00:17:9A         	DLink       	D-Link Corporation
00:17:BD         	Tibetsystem 	Tibetsystem
00:18:03         	ArcSoftShang	ArcSoft Shanghai Co. LTD
00:18:05         	InHandNetwor	Beijing InHand Networking Technology Co.,Ltd.
00:18:12         	XinweiTeleco	Beijing Xinwei Telecom Technology Co., Ltd.
00:18:15         	GZTechnologi	GZ Technologies, Inc.
00:18:2A         	TaiwanVideoM	Taiwan Video & Monitor
00:18:4D         	Netgear     	Netgear
00:18:60         	SIMTechnolog	SIM Technology Group Shanghai Simcom Ltd.,
00:18:70         	E28Shanghai 	E28 Shanghai Limited
00:18:82         	HuaweiTechno	Huawei Technologies Co.,Ltd
00:18:93         	PhotonBroadb	Shenzhen Photon Broadband Technology Co.,Ltd
00:18:99         	jieshunScien	ShenZhen jieshun Science&Technology Industry CO,LTD.
00:18:AB         	LhwtMicroele	Beijing Lhwt Microelectronics Inc.
00:18:AC         	JiaoDaHISYST	Shanghai Jiao Da HISYS Technology Co. Ltd.
00:18:BD         	DvbworldTech	Shenzhen Dvbworld Technology Co., Ltd.
00:18:F2         	TianyuCommun	Beijing Tianyu Communication Equipment Co., Ltd
00:18:F3         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:18:F5         	StreamingVid	Shenzhen Streaming Video Technology Company Limited
00:19:11         	JustInMobile	Just In Mobile Information Technologies (Shanghai) Co., Ltd.
00:19:3F         	RDItechnolog	RDI technology(Shenzhen) Co.,LTD
00:19:4C         	FujianStelco	Fujian Stelcom information & Technology CO.,Ltd
00:19:5B         	DLink       	D-Link Corporation
00:19:5D         	XinHuaTongOp	ShenZhen XinHuaTong Opto Electronics Co.,Ltd
00:19:65         	YuHuaTelTech	YuHua TelTech (ShangHai) Co., Ltd.
00:19:68         	DigitalVideo	Digital Video Networks(Shanghai) CO. LTD.
00:19:71         	GuangzhouUni	Guangzhou Unicomp Technology Co.,Ltd
00:19:75         	Huisennetwor	Beijing Huisen networks technology Inc
00:19:81         	Vivox       	Vivox Inc
00:19:95         	JurongHiTech	Jurong Hi-Tech (Suzhou)Co.ltd
00:19:C6         	zte         	zte corporation
00:19:CD         	ethercominfo	Chengdu ethercom information technology Ltd.
00:19:E0         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
00:19:EF         	LinnkingElec	Shenzhen Linnking Electronics Co.,Ltd
00:19:FE         	SeecommTechn	Shenzhen Seecomm Technology Co.,Ltd.
